,TITLE,TOT_DEGREE,TOT_ART
466,CURRENT OPINION IN GENETICS & DEVELOPMENT,1,0
467,FRONTIERS IN NUCLEIC ACIDS,1,0
468,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,1,0
469,BIOCATALYSIS AND BIOTRANSFORMATION,1,0
470,JOURNAL OF INORGANIC BIOCHEMISTRY,1,0
471,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,5,0
472,ALDRICHIMICA ACTA,1,0
473,GOLD BULLETIN,2,0
474,JOURNAL OF THE ROYAL SOCIETY INTERFACE,2,0
475,IEEE COMPUTER GRAPHICS AND APPLICATIONS,1,0
476,MULTIMEDIA TOOLS AND APPLICATIONS,1,0
477,"ANNUAL REVIEW OF PHYSICAL CHEMISTRY, VOL 61",1,0
478,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,2,0
479,TOPICS IN CURRENT CHEMISTRY-SERIES,1,0
480,CRYSTAL GROWTH & DESIGN,2,0
481,ACTA CHEMICA SCANDINAVICA,2,0
482,HALOGEN BONDING: FUNDAMENTALS AND APPLICATIONS,1,0
483,MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,2,0
484,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,2,0
485,THIN SOLID FILMS,2,0
486,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,3,0
487,JOURNAL OF NANOMATERIALS,1,0
488,PHYSICA B-CONDENSED MATTER,1,0
489,PHILOSOPHICAL MAGAZINE,2,0
490,INTERNATIONAL JOURNAL OF PLASTICITY,1,0
491,BIOSENSORS & BIOELECTRONICS,3,0
492,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,1,0
493,MATERIALS SCIENCE AND ENGINEERING B-SOLID STATE MATERIALS FOR ADVANCED TECHNOLOGY,1,0
494,JOURNAL OF MATERIALS RESEARCH,2,0
495,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,3,0
496,MICROELECTRONIC ENGINEERING,1,0
497,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,1,0
498,FRONTIERS IN QUANTUM SYSTEMS IN CHEMISTRY AND PHYSICS,1,0
499,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,2,0
500,JOURNAL OF MOLECULAR LIQUIDS,1,0
501,SCIDAC 2009: SCIENTIFIC DISCOVERY THROUGH ADVANCED COMPUTING,1,0
502,MODELING AND SIMULATION FOR DEFENSE SYSTEMS AND APPLICATIONS V,1,0
503,"HIGH PERFORMANCE COMPUTING - HIPC 2006, PROCEEDINGS",1,0
504,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,2,0
505,AMERICAN JOURNAL OF HUMAN GENETICS,2,0
506,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-BIOLOGICAL SCIENCES,5,0
507,NEUROCOMPUTING,3,0
508,JOURNAL OF STATISTICAL PHYSICS,1,0
509,"ADVANCES IN QUANTUM CHEMISTRY, VOL 59: COMBINING QUANTUM MECHANICS AND MOLECULAR MECHANICS - SOME RECENT PROGRESSES IN QM/MM METHODS",1,0
510,ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS,1,0
511,SYNTHETIC METALS,1,0
512,RADIATION RESEARCH,1,0
513,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE,8,0
514,IMA JOURNAL OF NUMERICAL ANALYSIS,1,0
515,"ADVANCES IN QUANTUM CHEMISTRY, VOL 34",1,0
516,NATURE PROTOCOLS,3,0
517,BMC GENOMICS,1,0
518,MOLECULAR & CELLULAR PROTEOMICS,3,0
519,JOURNAL OF PROTEOME RESEARCH,1,0
520,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,2,0
521,PRINCIPLES AND APPLICATIONS OF DENSITY FUNCTIONAL THEORY IN INORGANIC CHEMISTRY I,1,0
522,JOURNAL OF PHARMACEUTICAL SCIENCES,2,0
523,QUANTITATIVE STRUCTURE-ACTIVITY RELATIONSHIPS,4,0
524,MEDICINAL CHEMISTRY RESEARCH,1,0
525,ADVANCES IN PROTEIN CHEMISTRY,1,0
526,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,1,0
527,REGULATORY TOXICOLOGY AND PHARMACOLOGY,3,0
528,PERSPECTIVES IN DRUG DISCOVERY AND DESIGN,1,0
529,VIROLOGY,1,0
530,INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEMISTRY,1,0
531,SIAM JOURNAL ON SCIENTIFIC AND STATISTICAL COMPUTING,1,0
532,"ADVANCES IN QUANTUM CHEMISTRY, VOL 50: A TRIBUTE TO JAN LINDERBERG AND POUL JORGENSEN",1,0
533,QUARTERLY REVIEWS,1,0
534,JOURNAL OF MAGNETIC RESONANCE,2,0
535,"NUCLEAR MAGNETIC RESONANCE OF BIOLOGICAL MACROMOLECULES, PT B",2,0
536,ACTA BIOCHIMICA POLONICA,1,0
537,BIOCHEMISTRY AND CELL BIOLOGY-BIOCHIMIE ET BIOLOGIE CELLULAIRE,1,0
538,CANADIAN JOURNAL OF PHYSICS,1,0
539,JOURNAL OF MOLECULAR STRUCTURE,2,0
540,ADVANCES IN CHEMICAL PHYSICS,4,0
541,JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,1,0
542,"ADVANCES IN CHEMICAL PHYSICS, VOL 104",1,0
543,COMPUTER PHYSICS REPORTS,2,0
544,JOURNAL OF THE CHEMICAL SOCIETY-FARADAY TRANSACTIONS II,1,0
545,METHODS IN COMPUTATIONAL MOLECULAR PHYSICS,1,0
546,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,2,0
547,"ADVANCES IN QUANTUM CHEMISTRY, VOL 48",1,0
548,JOURNAL OF THE CHEMICAL SOCIETY A -INORGANIC PHYSICAL THEORETICAL,1,0
549,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,1,0
550,JOURNAL OF CELL SCIENCE,1,0
551,INORGANICA CHIMICA ACTA,3,0
552,HYPERFINE INTERACTIONS,1,0
553,ATLA-ALTERNATIVES TO LABORATORY ANIMALS,1,0
554,JOURNAL OF CHEMOMETRICS,1,0
555,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,1,0
556,ADVANCES IN QUANTUM CHEMISTRY,1,0
557,COLLECTION OF CZECHOSLOVAK CHEMICAL COMMUNICATIONS,1,0
558,LIEBIGS ANNALEN DER CHEMIE,1,0
559,CHEMISCHE BERICHTE-RECUEIL,1,0
560,TRANSITION METAL COMPLEXES OF NEUTRAL ETA1-CARBON LIGANDS,1,0
561,JOURNAL OF THE CHEMICAL SOCIETY-CHEMICAL COMMUNICATIONS,1,0
562,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,1,0
563,"SUPERCOMPUTING '94, PROCEEDINGS",1,0
564,IBM SYSTEMS JOURNAL,1,0
565,HELVETICA CHIMICA ACTA,1,0
566,JOURNAL OF INORGANIC & NUCLEAR CHEMISTRY,2,0
567,POLYHEDRON,1,0
568,JOURNAL OF ORGANOMETALLIC CHEMISTRY,1,0
569,ACM COMPUTING SURVEYS,1,0
570,COMPUTER,1,0
571,IEEE TRANSACTIONS ON INFORMATION THEORY,1,0
572,NATURE GENETICS,1,0
573,"MACROMOLECULAR CRYSTALLOGRAPHY, PT B",1,0
574,ACTA CHEMICA SCANDINAVICA SERIES A-PHYSICAL AND INORGANIC CHEMISTRY,1,0
575,OPTICS LETTERS,1,0
576,ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,1,0
577,EMBO JOURNAL,2,0
578,GENETICA,1,0
579,PHYSICS WORLD,1,0
580,BIOCONJUGATE CHEMISTRY,1,0
581,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1,0
582,CHEMISTRY & BIOLOGY,3,0
583,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2,0
584,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,1,0
585,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1,0
586,BIOORGANIC CHEMISTRY,1,0
587,COMPTES RENDUS CHIMIE,1,0
588,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,1,0
589,NOUVEAU JOURNAL DE CHIMIE-NEW JOURNAL OF CHEMISTRY,1,0
590,JOURNAL OF THE CHEMICAL SOCIETY,1,0
591,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,1,0
592,CRYSTALLOGRAPHY REVIEWS,1,0
593,JOURNAL OF APPLIED CRYSTALLOGRAPHY,5,0
594,"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS, VOL 52, NO 2",1,0
595,AUSTRALIAN JOURNAL OF PHYSICS,1,0
596,FOLDING & DESIGN,2,0
597,ELASTIC FILAMENTS OF THE CELL,1,0
598,POLYMER,1,0
599,"ADVANCES IN CHEMICAL PHYSICS, VOLUME 121",1,0
600,JAHN-TELLER EFFECT: FUNDAMENTALS AND IMPLICATIONS FOR PHYSICS AND CHEMISTRY,2,0
601,APPLIED PHYSICS B-LASERS AND OPTICS,1,0
602,JOURNAL OF MODERN OPTICS,2,0
603,QUANTUM DYNAMICS OF COMPLEX MOLECULAR SYSTEMS,1,0
604,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 15",2,0
605,ROLE OF DEGENERATE STATES IN CHEMISTRY,1,0
606,PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES-CHEMICAL SCIENCES,1,0
607,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA,1,0
608,ZEITSCHRIFT FUR NATURFORSCHUNG PART A-ASTROPHYSIK PHYSIK UND PHYSIKALISCHE CHEMIE,1,0
609,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,3,0
610,"NUCLEAR MAGNETIC RESONANCE OF BIOLOGICAL MACROMOLECULES, PART C",1,0
611,EMBO REPORTS,1,0
612,"ANNUAL REVIEW OF BIOPHYSICS, VOL 39",1,0
613,CURRENT OPINION IN CELL BIOLOGY,1,0
614,MASS SPECTROMETRY REVIEWS,1,0
615,STRUCTURAL CHEMISTRY,3,0
616,CROATICA CHEMICA ACTA,1,0
617,ENVIRONMENTAL HEALTH PERSPECTIVES,1,0
618,"ADVANCES IN PHYSICAL ORGANIC CHEMISTRY, VOL 40",2,0
619,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 20",1,0
620,PROGRESS IN PHYSICAL ORGANIC CHEMISTRY,1,0
621,INFORMATION STORAGE AND RETRIEVAL,3,0
622,ORGANIC MAGNETIC RESONANCE,1,0
623,JOURNAL OF THE CHEMICAL SOCIETY C-ORGANIC,1,0
624,PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES,1,0
625,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,1,0
626,DRUG DEVELOPMENT RESEARCH,1,0
627,JOURNAL OF COMBINATORIAL CHEMISTRY,1,0
628,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE,1,0
629,ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,1,0
630,ASLIB PROCEEDINGS,1,0
631,JOURNAL OF INFORMATION SCIENCE,1,0
632,ARTIFICIAL INTELLIGENCE,1,0
633,NATURE REVIEWS GENETICS,3,0
634,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,1,0
635,COMPUTING,1,0
636,SIAM JOURNAL ON COMPUTING,1,0
637,OPERATIONS RESEARCH LETTERS,2,0
638,"GRAPH BASED REPRESENTATIONS IN PATTERN RECOGNITION, PROCEEDINGS",1,0
639,COMPUTER APPLICATIONS IN THE BIOSCIENCES,1,0
640,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2,0
641,ALGORITHMICA,1,0
642,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,1,0
643,MOLECULAR DIVERSITY,1,0
644,IN SILICO SIMULATION OF BIOLOGICAL PROCESSES,1,0
645,THEORETICAL COMPUTER SCIENCE,1,0
646,SOFTWARE-PRACTICE & EXPERIENCE,1,0
647,COMPUTER JOURNAL,1,0
648,OPERATIONS RESEARCH,1,0
649,IMAGE AND VISION COMPUTING,1,0
650,ANNUAL REVIEW OF BIOPHYSICS AND BIOENGINEERING,2,0
651,PLOS BIOLOGY,1,0
652,CURRENT OPINION IN BIOTECHNOLOGY,1,0
653,RNA,1,0
654,"MACROMOLECULAR CRYSTALLOGRAPHY, PT D",1,0
655,CHIRALITY,2,0
656,SYNTHESIS-STUTTGART,1,0
657,JOURNAL OF CATALYSIS,1,0
