,TITLE,JOURNAL_ID,YEAR,CITED_IN,CITED_OUT
842,Effect of the Damping Function in Dispersion Corrected Density Functional Theory,47,2011,1,0
843,Semiempirical GGA-type density functional constructed with a long-range dispersion correction,47,2006,3,0
844,Convergence of QM/MM free-energy perturbations based on molecular-mechanics or semiempirical simulations,47,2012,1,0
845,INTEGRATION OF THE CLASSICAL EQUATIONS OF MOTION ON ABINITIO MOLECULAR-POTENTIAL ENERGY SURFACES USING GRADIENTS AND HESSIANS - APPLICATION TO TRANSLATIONAL ENERGY-RELEASE UPON FRAGMENTATION,47,1990,3,0
846,A climbing image nudged elastic band method for finding saddle points and minimum energy paths,47,2000,2,0
847,Dynamic personalities of proteins,47,2007,2,0
848,Quantum chemical modeling of enzyme active sites and reaction mechanisms,47,2006,2,0
849,INHOMOGENEOUS ELECTRON GAS,47,1964,6,0
850,Free energies of chemical reactions in solution and in enzymes with ab initio quantum mechanics/molecular mechanics methods,47,2008,2,0
851,Catalytic mechanism and product specificity of the histone lysine methyltransferase SET7/9: An ab initio QM/MM-FE study with multiple initial structures,47,2006,2,0
852,Mechanism and Selectivity of Rhodium-Catalyzed 1:2 Coupling of Aldehydes and Allenes,47,2013,1,0
853,The IMOMO method: Integration of different levels of molecular orbital approximations for geometry optimization of large systems: Test for n-butane conformation and S(N)2 reaction: RCl+Cl-,47,1996,2,0
854,Car-Parrinello molecular dynamics,47,2012,3,0
855,Efficient exploration of reactive potential energy surfaces using Car-Parrinello molecular dynamics,47,2003,1,0
856,Classical polarization in hybrid QM/MM methods,47,2006,1,0
857,Development and testing of the OPLS all-atom force field on conformational energetics and properties of organic liquids,47,1996,2,0
858,THE OPLS POTENTIAL FUNCTIONS FOR PROTEINS - ENERGY MINIMIZATIONS FOR CRYSTALS OF CYCLIC-PEPTIDES AND CRAMBIN,47,1988,3,0
859,High-Level QM/MM Calculations Support the Concerted Mechanism for Michael Addition and Covalent Complex Formation in Thymidylate Synthase,47,2015,1,0
860,At the dawn of the 21st century: Is dynamics the missing link for understanding enzyme catalysis?,47,2010,2,0
861,Multiscale modeling of biological functions,47,2011,1,0
862,Amine Oxidation Mediated by Lysine-Specific Demethylase 1: Quantum Mechanics/Molecular Mechanics Insights into Mechanism and Role of Lysine 661,47,2013,1,0
863,On possible pitfalls in ab initio quantum mechanics/molecular mechanics minimization approaches for studies of enzymatic reactions,47,2005,1,0
864,Enzyme catalysis: Beyond classical paradigms,47,1998,1,0
865,Thorpe-Ingold Acceleration of Oxirane Formation Is Mostly a Solvent Effect,47,2010,1,0
866,Structure of Mycobacterium tuberculosis glutamine synthetase in complex with a transition-state mimic provides functional insights,47,2005,1,0
867,Exploring Reaction Pathways for O-GlcNAc Transferase Catalysis. A String Method Study,47,2015,1,0
868,A Hamiltonian electrostatic coupling scheme for hybrid Car-Parrinello molecular dynamics simulations,47,2002,2,0
869,Enhancing Paradynamics for QM/MM Sampling of Enzymatic Reactions,47,2016,1,0
870,"The role of quantum chemistry in the elucidation of the elementary mechanisms of catalytic processes: from atoms, to surfaces, to enzymes",47,2007,1,0
871,Large-Scale Density Functional Theory Transition State Searching in Enzymes,47,2014,1,0
872,Comparison of QM-Only and QM/MM Models for the Mechanism of Tungsten-Dependent Acetylene Hydratase,47,2012,1,0
873,Mechanism of tungsten-dependent acetylene hydratase from quantum chemical calculations,47,2010,1,0
874,Quantum Chemistry as a Tool in Asymmetric Biocatalysis: Limonene Epoxide Hydrolase Test Case,47,2013,1,0
875,Structural Fluctuations in Enzyme-Catalyzed Reactions: Determinants of Reactivity in Fatty Acid Amide Hydrolase from Multivariate Statistical Analysis of Quantum Mechanics/Molecular Mechanics Paths,47,2010,1,0
876,Conformational effects in enzyme catalysis: Reaction via a high energy conformation in fatty acid amide hydrolase,47,2007,1,0
877,Computational enzymology,47,2010,1,0
878,A practical guide to modelling enzyme-catalysed reactions,47,2012,1,0
879,Single-molecule enzymatic dynamics,47,1998,1,0
880,Catalytic Mechanism of the Arylsulfatase Promiscuous Enzyme from Pseudomonas Aeruginosa,47,2013,1,0
881,Theoretical insights in enzyme catalysis,47,2004,1,0
882,Human immunodeficiency virus - Mutations in the viral protease that confer resistance to saquinavir increase the dissociation rate constant of the protease-saquinavir complex,47,1996,1,0
883,IMOMM - A NEW INTEGRATED AB-INITIO PLUS MOLECULAR MECHANICS GEOMETRY OPTIMIZATION SCHEME OF EQUILIBRIUM STRUCTURES AND TRANSITION-STATES,47,1995,3,0
884,Protein dynamics and enzyme catalysis: Insights from simulations,47,2011,1,0
885,Conformational Plasticity of an Enzyme during Catalysis: Intricate Coupling between Cyclophilin A Dynamics and Substrate Turnover,47,2013,1,0
886,Using Quantum Mechanical Approaches to Study Biological Systems,47,2014,1,0
887,Hybrid classical quantum force field for modeling very large molecules,47,1996,1,0
888,Reaction Mechanism of Mycobacterium Tuberculosis Glutamine Synthetase Using Quantum Mechanics/Molecular Mechanics Calculations,47,2016,1,0
889,Computational enzymology: modelling the mechanisms of biological catalysts,47,2008,1,0
890,"Modelling enzyme reaction mechanisms, specificity and catalysis",47,2005,1,0
891,Frozen orbital QM/MM methods for density functional theory,47,2000,1,0
892,The Accuracy of Density Functional Theory in the Description of Cation-pi and pi-Hydrogen Bond Interactions,47,2011,1,0
893,Unveiling the Catalytic Mechanism of NADP(+)-Dependent Isocitrate Dehydrogenase with QM/MM Calculations,47,2016,1,0
894,Benchmarking of Density Functionals for the Accurate Description of Thiol-Disulfide Exchange,47,2014,1,0
895,Advances in biomolecular simulations: methodology and recent applications,47,2003,1,0
896,Crystal structures of RNase H bound to an RNA/DNA hybrid: Substrate specificity and metal-dependent catalysis,47,2005,1,0
897,QM/MM study of the mechanism of reduction of 3-hydroxy-3-methylglutaryl coenzyme A catalyzed by human HMG-CoA reductase,47,2016,1,0
898,Mechanism of Formation of the Internal Aldimine in Pyridoxal 5 '-Phosphate-Dependent Enzymes,47,2011,1,0
899,Frozen density functional free energy simulations of redox proteins: Computational studies of the reduction potential of plastocyanin and rusticyanin,47,2003,2,0
900,"Quantum Mechanics/Molecular Mechanics Studies on the Mechanism of Action of Cofactor Pyridoxal 5 '-Phosphate in Ornithine 4,5-Aminomutase",47,2014,1,0
901,QM/MM Study of the Catalytic Mechanism of GalNAc Removal from GM2 Ganglioside Catalyzed by Human beta-HexosaminidaseA,47,2011,1,0
902,Theoretical insights into the catalytic mechanism of beta-hexosaminidase,47,2011,1,0
903,CAR-PARRINELLO METHODS,47,1990,1,0
904,COMBINING SYNCHRONOUS TRANSIT AND QUASI-NEWTON METHODS TO FIND TRANSITION-STATES,47,1993,1,0
905,Using redundant internal coordinates to optimize equilibrium geometries and transition states,47,1996,1,0
906,Understanding the Mechanism for Ribonucleotide Reductase Inactivation by 2 '-Deoxy-2 '-methylenecytidine-5 '-diphosphate,47,2010,1,0
907,The working mechanism of the beta-carbonic anhydrase degrading carbonyl sulphide (COSase): a theoretical study,47,2015,1,0
908,New insights in the catalytic mechanism of tyrosine ammonia-lyase given by QM/MM and QM cluster models,47,2015,1,0
909,Establishing the Catalytic Mechanism of Human Pancreatic alpha-Amylase with QM/MM Methods,47,2015,1,0
910,"Exploring, Refining, and Validating the Paradynamics QM/MM Sampling",47,2012,1,0
911,Paradynamics: An Effective and Reliable Model for Ab lnitio QM/MM Free-Energy Calculations and Related Tasks,47,2011,1,0
912,Protein dynamics in enzymatic catalysis: Exploration of dihydrofolate reductase,47,2000,2,0
913,Computational enzymatic catalysis,47,2008,3,0
914,Investigations of enzyme-catalysed reactions with combined quantum mechanics/molecular mechanics (QM/MM) methods,47,2010,1,0
915,MOLECULAR-DYNAMICS WITHOUT EFFECTIVE POTENTIALS VIA THE CAR-PARRINELLO APPROACH,47,1990,1,0
916,Enzymatic Flexibility and Reaction Rate: A QM/MM Study of HIV-1 Protease,47,2015,1,0
917,Insight into Enzymatic Nitrile Reduction: QM/MM Study of the Catalytic Mechanism of QueF Nitrile Reductase,47,2015,1,0
918,The Catalytic Mechanism of Protein Phosphatase 5 Established by DFT Calculations,47,2013,1,0
919,Benchmarking of DFT Functionals for the Hydrolysis of Phosphodiester Bonds,47,2010,1,0
920,The Catalytic Mechanism of HIV-1 Integrase for DNA 3 '-End Processing Established by QM/MM Calculations,47,2012,1,0
921,On the relationship between folding and chemical landscapes in enzyme catalysis,47,2008,2,0
922,Accurate QM/MM free energy calculations of enzyme reactions: Methylation by catechol O-methyltransferase,47,2005,1,0
923,Quantum mechanical free energy barrier for an enzymatic reaction,47,2005,1,0
924,Catalytic Mechanism of RNA Backbone Cleavage by Ribonuclease H from Quantum Mechanics/Molecular Mechanics Simulations,47,2011,1,0
925,Unraveling the Base Excision Repair Mechanism of Human DNA Glycosylase,47,2015,1,0
926,Conformational Compression and Barrier Height Heterogeneity in the N-Acetylglutamate Kinase,47,2013,1,0
927,Computational Analysis of Methyl Transfer Reactions in Dengue Virus Methyltransferase,47,2014,1,0
928,QM/MM Methods for Biomolecular Systems,47,2009,5,0
929,QM/MM methods for biological systems,47,2007,4,0
930,QM/MM studies of enzymes,47,2007,1,0
931,Theoretical study of the reaction mechanism of phenolic acid decarboxylase,47,2015,1,0
932,Multiple states of the Tyr318Leu mutant of dihydroorotate dehydrogenase revealed by single-molecule kinetics,47,2004,1,0
933,Transition-metal systems in biochemistry studied by high-accuracy quantum chemical methods,47,2000,1,0
934,Mechanisms of metalloenzymes studied by quantum chemical methods,47,2003,1,0
935,Improving the study of proton transfers between amino acid side chains in solution: choosing appropriate DFT functionals and avoiding hidden pitfalls,47,2012,1,0
936,A COMBINED ABINITIO QUANTUM-MECHANICAL AND MOLECULAR MECHANICAL METHOD FOR CARRYING OUT SIMULATIONS ON COMPLEX MOLECULAR-SYSTEMS - APPLICATIONS TO THE CH3CL + CL- EXCHANGE-REACTION AND GAS-PHASE PROTONATION OF POLYETHERS,47,1986,2,0
937,Single molecule studies of enzyme mechanisms,47,2006,1,0
938,Hybrid Quantum Mechanics/Molecular Mechanics/Coarse Grained Modeling: A Triple-Resolution Approach for Biomolecular Systems,47,2015,1,0
939,Relationship between Enzyme/Substrate Properties and Enzyme Efficiency in Hydrolases,47,2015,1,0
940,"Enzymatic ""Tricks"": Carboxylate Shift and Sulfur Shift",47,2014,1,0
941,Comparative analysis of the performance of commonly available density functionals in the determination of geometrical parameters for copper complexes,47,2013,1,0
942,Comparative Analysis of the Performance of Commonly Available Density Functionals in the Determination of Geometrical Parameters for Zinc Complexes,47,2009,1,0
943,The carboxylate shift in zinc enzymes: A computational study,47,2007,1,0
944,The Search for the Mechanism of the Reaction Catalyzed by Farnesyltransferase,47,2009,1,0
945,Theoretical studies on farnesyltransferase: Evidence for thioether product coordination to the active-site zinc sphere,47,2007,1,0
946,Computational enzymatic catalysis - clarifying enzymatic mechanisms with the help of computers,47,2012,1,0
947,Theoretical studies on farnesyltransferase: The distances paradox explained,47,2007,1,0
948,Farnesyltransferase - New insights into the zinc-coordination sphere paradigm: Evidence for a carboxylate-shift mechanism,47,2005,1,0
949,Farnesyltransferase: Theoretical studies on peptide substrate entrance thiol or thiolate coordination?,47,2005,1,0
950,Optimization of parameters for semiempirical methods V: Modification of NDDO approximations and application to 70 elements,47,2007,4,0
951,"OPTIMIZATION OF PARAMETERS FOR SEMIEMPIRICAL METHODS .3. EXTENSION OF PM3 TO BE, MG, ZN, GA, GE, AS, SE, CD, IN, SN, SB, TE, HG, TL, PB, AND BI",47,1991,1,0
952,OPTIMIZATION OF PARAMETERS FOR SEMIEMPIRICAL METHODS .1. METHOD,47,1989,2,0
953,Predicting enzymatic reactivity: from theory to design,47,2014,1,0
954,Conformational substates modulate hydride transfer in dihydrofolate reductase,47,2005,1,0
955,Biochemical characterization of the HIV-1 integrase 3 '-processing activity and its inhibition by phosphorothioate oligonucleotides,47,1998,1,0
956,Long-range correction for density functional theory,47,2014,1,0
957,Computational enzymology: insight into biological catalysts from modelling,47,2008,1,0
958,"COMPUTER-SIMULATION OF MOLECULAR-DYNAMICS - METHODOLOGY, APPLICATIONS, AND PERSPECTIVES IN CHEMISTRY",47,1990,1,0
959,Energetics and dynamics of enzymatic reactions,47,2001,2,0
960,"Biomolecular simulations: Recent developments in force fields, simulations of enzyme catalysis, protein-ligand, protein-protein, and protein-nucleic acid noncovalent interactions",47,2001,1,0
961,"THEORETICAL STUDIES OF ENZYMIC REACTIONS - DIELECTRIC, ELECTROSTATIC AND STERIC STABILIZATION OF CARBONIUM-ION IN REACTION OF LYSOZYME",47,1976,8,0
962,AN EMPIRICAL VALENCE BOND APPROACH FOR COMPARING REACTIONS IN SOLUTIONS AND IN ENZYMES,47,1980,2,0
963,ENERGETICS OF ENZYME CATALYSIS,47,1978,2,0
964,Electrostatic basis for enzyme catalysis,47,2006,2,0
965,String method for the study of rare events,47,2002,1,0
966,AN ALL ATOM FORCE-FIELD FOR SIMULATIONS OF PROTEINS AND NUCLEIC-ACIDS,47,1986,1,0
967,A NEW FORCE-FIELD FOR MOLECULAR MECHANICAL SIMULATION OF NUCLEIC-ACIDS AND PROTEINS,47,1984,1,0
968,DIFFERENCES IN THE CHEMICAL-REACTIVITY OF INDIVIDUAL MOLECULES OF AN ENZYME,47,1995,1,0
969,Base-Pairing Energies of Proton-Bound Heterodimers of Cytosine and Modified Cytosines: Implications for the Stability of DNA i-Motif Conformations,47,2014,1,0
970,Making and breaking nucleic acids: Two-Mg2+-ion catalysis and substrate specificity,47,2006,1,0
971,Development of Polyphenols as HIV-1 Integrase Inhibitors: a Summary and Perspective,47,2012,1,0
972,Flexible-boundary quantum-mechanical/molecular-mechanical calculations: Partial charge transfer between the quantum-mechanical and molecular-mechanical subsystems,47,2008,1,0
973,Self-consistent polarization of the boundary in the redistributed charge and dipole scheme for combined quantum-mechanical and molecular-mechanical calculations,47,2007,2,0
974,A pseudobond approach to combining quantum mechanical and molecular mechanical methods,47,1999,1,0
975,Influence of structural fluctuation on enzyme reaction energy barriers in combined quantum mechanical/molecular mechanical studies,47,2003,1,0
976,A density functional theory investigation on the formation mechanisms of DNA interstrand crosslinks induced by chloroethylnitrosoureas,47,2013,1,0
977,"Hybrid meta density functional theory methods for thermochemistry, thermochemical kinetics, and noncovalent interactions: The MPW1B95 and MPWB1K models and comparative assessments for hydrogen bonding and van der Waals interactions",47,2004,1,0
978,Development and assessment of a new hybrid density functional model for thermochemical kinetics,47,2004,1,0
979,"The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals",47,2008,4,0
980,Recent developments and applications of the CHARMM force fields,47,2012,2,0
981,HIGH-TEMPERATURE EQUATION OF STATE BY A PERTURBATION METHOD .1. NONPOLAR GASES,47,1954,1,0
982,The PyRosetta Toolkit: A Graphical User Interface for the Rosetta Software Suite,47,2013,1,0
983,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,47,1997,2,0
984,GTKDynamo: A PyMOL plug-in for QC/MM hybrid potential simulations,47,2013,1,0
985,Computer Aided Drug Design: Success and Limitations,47,2016,1,0
986,Electrostatics of nanosystems: Application to microtubules and the ribosome,47,2001,1,0
987,Real-Time PyMOL Visualization for Rosetta and PyRosetta,47,2011,1,0
988,"PyMod: sequence similarity searches, multiple sequence-structure alignments, and homology modeling within PyMOL",47,2012,1,0
989,The Principles of Ligand Specificity on beta-2-adrenergic receptor,47,2016,1,0
990,PyRosetta: a script-based interface for implementing molecular modeling algorithms using Rosetta,47,2010,1,0
991,CAVER 3.0: A Tool for the Analysis of Transport Pathways in Dynamic Protein Structures,47,2012,1,0
992,Potentially increasing the metabolic stability of drug candidates via computational site of metabolism prediction by CYP2C9: The utility of incorporating protein flexibility via an ensemble of structures,47,2011,1,0
993,MUSCLE: multiple sequence alignment with high accuracy and high throughput,47,2004,1,0
994,Knowledge-based protein secondary structure assignment,47,1995,1,0
995,NRGsuite: a PyMOL plugin to perform docking simulations in real time using FlexAID,47,2015,1,0
996,FlexAID: Revisiting Docking on Non-Native-Complex Structures,47,2015,1,0
997,LigAlign: Flexible ligand-based active site alignment and analysis,47,2010,1,0
998,Mechanisms of Protein-Ligand Association and Its Modulation by Protein Mutations,47,2011,1,0
999,eMovie: a storyboard-based tool for making molecular movies,47,2007,1,0
1000,PharmDock: a pharmacophore-based docking program,47,2014,1,0
1001,WATsite: Hydration Site Prediction Program with PyMOL Interface,47,2014,1,0
1002,Protein secondary structure prediction based on position-specific scoring matrices,47,1999,1,0
1003,A series of PDB related databases for everyday needs,47,2011,1,0
1004,Combining Structure- and Ligand-Based Approaches to Improve Site of Metabolism Prediction in CYP2C9 Substrates,47,2015,1,0
1005,Drug design from the cryptic inhibitor envelope,47,2016,1,0
1006,LiSiCA: A Software for Ligand-Based Virtual Screening and Its Application for the Discovery of Butyrylcholinesterase Inhibitors,47,2015,1,0
1007,Solvent Interaction Energy Calculations on Molecular Dynamics Trajectories: Increasing the Efficiency Using Systematic Frame Selection,47,2011,1,0
1008,Computer-aided drug design platform using PyMOL,47,2011,1,0
1009,Improvements in GROMACS plugin for PyMOL including implicit solvent simulations and displaying results of PCA analysis,47,2016,1,0
1010,Open Babel: An open chemical toolbox,47,2011,1,0
1011,PROPKA3: Consistent Treatment of Internal and Surface Residues in Empirical pK(a) Predictions,47,2011,1,0
1012,GROMACS 4.5: a high-throughput and highly parallel open source molecular simulation toolkit,47,2013,2,0
1013,"Refinement of protein structure homology models via long, all-atom molecular dynamics simulations",47,2012,1,0
1014,Using the PyMOL Application to Reinforce Visual Understanding of Protein Structure,47,2016,1,0
1015,PLIP: fully automated protein-ligand interaction profiler,47,2015,1,0
1016,"Protein and ligand preparation: parameters, protocols, and influence on virtual screening enrichments",47,2013,1,0
1017,Ligand docking and binding site analysis with PyMOL and Autodock/Vina,47,2010,1,0
1018,MOLE 2.0: advanced approach for analysis of biomacromolecular channels,47,2013,1,0
1019,"Fast, scalable generation of high-quality protein multiple sequence alignments using Clustal Omega",47,2011,1,0
1020,Ab initio protein structure prediction of CASP III targets using ROSETTA,47,1999,1,0
1021,DrugOn: a fully integrated pharmacophore modeling and structure optimization toolkit,47,2015,1,0
1022,PyTMs: a useful PyMOL plugin for modeling common post-translational modifications,47,2014,1,0
1023,Advances in homology protein structure modeling,47,2006,1,0
1024,Mechanistic Studies on the Stereoselectivity of the Serotonin 5-HT1A Receptor,47,2016,1,0
1025,The Mechanism of Ligand-Induced Activation or Inhibition of - and -Opioid Receptors,47,2015,1,0
1026,A Gating Mechanism of the Serotonin 5-HT3 Receptor,47,2016,1,0
1027,Electronic Properties of a Graphene Device with Peptide Adsorption: Insight from Simulation,47,2013,1,0
1028,DFT periodic study of the adsorption of glycine on the anhydrous and hydroxylated (0001) surfaces of alpha-alumina,47,2007,1,0
1029,Are Protein Force Fields Getting Better? A Systematic Benchmark on 524 Diverse NMR Measurements,47,2012,1,0
1030,Computational chemistry using modern electronic structure methods,47,2007,1,0
1031,Proteins and Peptides at Gold Surfaces: Insights from Atomistic Simulations,47,2012,1,0
1032,Simulation of Multiphase Systems Utilizing Independent Force Fields to Control Intraphase and Interphase Behavior,47,2012,1,0
1033,Topological and dynamical properties of Azurin anchored to a gold substrate as investigated by molecular dynamics simulation,47,2006,1,0
1034,Molecular modeling of energetic materials: The parameterization and validation of nitrate esters in the COMPASS force field,47,2000,1,0
1035,Ab initio derived force-field parameters for molecular dynamics simulations of deprotonated amorphous-SiO2/water interfaces,47,2012,1,0
1036,Peptide-TiO2 surface interaction in solution by ab initio and molecular dynamics simulations,47,2006,1,0
1037,Interaction of biomolecular systems with titanium-based materials: computational investigations,47,2009,1,0
1038,Combined ab initio/empirical approach for optimization of Lennard-Jones parameters for polar-neutral compounds,47,2002,1,0
1039,Platinum nanocrystals selectively shaped using facet-specific peptide sequences,47,2011,1,0
1040,Charge Storage in Redox-active Azurin Monolayer on 11-MUA Modified Gold Surface,47,2009,1,0
1041,Comparison of Secondary Structure Formation Using 10 Different Force Fields in Microsecond Molecular Dynamics Simulations,47,2012,1,0
1042,Crystallographic Recognition Controls Peptide Binding for Bio-Based Nanomaterials,47,2011,1,0
1043,"A 2ND GENERATION FORCE-FIELD FOR THE SIMULATION OF PROTEINS, NUCLEIC-ACIDS, AND ORGANIC-MOLECULES",47,1995,5,0
1044,"STRUCTURE AND ENERGETICS OF LIGAND-BINDING TO PROTEINS - ESCHERICHIA-COLI DIHYDROFOLATE REDUCTASE TRIMETHOPRIM, A DRUG-RECEPTOR SYSTEM",47,1988,1,0
1045,"Theoretical Studies on Anatase and Less Common TiO2 Phases: Bulk, Surfaces, and Nanomaterials",47,2014,1,0
1046,Engineering Nanomaterials for Biomedical Applications Requires Understanding the Nano-Bio Interface: A Perspective,47,2012,1,0
1047,Simulation of DNA-nanotube interactions,47,2004,1,0
1048,SIMUFLEX: Algorithms and Tools for Simulation of the Conformation and Dynamics of Flexible Molecules and Nanoparticles in Dilute Solution,47,2009,1,0
1049,Molecular Simulation of Bovine beta-Lactoglobulin Adsorbed onto a Positively Charged Solid Surface,47,2009,1,0
1050,POTENTIAL-ENERGY FUNCTIONS,47,1995,1,0
1051,"Merck molecular force field .1. Basis, form, scope, parameterization, and performance of MMFF94",47,1996,1,0
1052,Merck molecular force field .2. MMFF94 van der Waals and electrostatic parameters for intermolecular interactions,47,1996,1,0
1053,Merck molecular force field .3. Molecular geometries and vibrational frequencies for MMFF94,47,1996,1,0
1054,Merck molecular force field .4. Conformational energies and geometries for MMFF94,47,1996,1,0
1055,Ordered mesoporous materials for bioadsorption and biocatalysis,47,2005,1,0
1056,"Simulations of inorganic-bioorganic interfaces to discover new materials: insights, comparisons to experiment, challenges, and opportunities",47,2016,1,0
1057,Accurate Simulation of Surfaces and Interfaces of Face-Centered Cubic Metals Using 12-6 and 9-6 Lennard-Jones Potentials,47,2008,1,0
1058,"Nature of Molecular Interactions of Peptides with Gold, Palladium, and Pd-Au Bimetal Surfaces in Aqueous Solution",47,2009,1,0
1059,"Thermodynamically Consistent Force Fields for the Assembly of Inorganic, Organic, and Biological Nanostructures: The INTERFACE Force Field",47,2013,1,0
1060,Adsorption Orientation and Binding Motifs of Lysozyme and Chymotrypsin on Amorphous Silica,47,2015,1,0
1061,Insights from Coarse-Grained Go Models for Protein Folding and Dynamics,47,2009,1,0
1062,Interaction of Amino Acids with the Au(111) Surface: Adsorption Free Energies from Molecular Dynamics Simulations,47,2010,1,0
1063,Interaction of beta-Sheet Folds with a Gold Surface,47,2011,1,0
1064,Toward Understanding Amino Acid Adsorption at Metallic Interfaces: A Density Functional Theory Study,47,2009,1,0
1065,Nanografting de novo proteins onto gold surfaces,47,2005,1,0
1066,GoIP: An Atomistic Force-Field to Describe the Interaction of Proteins With Au(111) Surfaces in Water,47,2009,1,0
1067,Unraveling the interaction between histidine side chain and the Au(111) surface: A DFT study,47,2008,1,0
1068,Electrochemical studies of the adsorption behavior of serum proteins on titanium,47,2000,1,0
1069,A first principles based polarizable O(N) interatomic force field for bulk silica,47,2010,1,0
1070,ProMetCS: An Atomistic Force Field for Modeling Protein-Metal Surface Interactions in a Continuum Aqueous Solvent,47,2010,1,0
1071,"Surface modification of titanium, titanium alloys, and related materials for biomedical applications",47,2004,1,0
1072,Adsorption Behavior of Hydrophobin Proteins on Polydimethylsiloxane Substrates,47,2012,1,0
1073,Development of an empirical force field for silica. Application to the quartz-water interface,47,2006,1,0
1074,Coarse-grained model of adsorption of blood plasma proteins onto nanoparticles,47,2015,1,0
1075,CALCULATION OF SOLVATION INTERACTION ENERGIES FOR PROTEIN ADSORPTION ON POLYMER SURFACES,47,1991,1,0
1076,All-atom empirical potential for molecular modeling and dynamics studies of proteins,47,1998,5,0
1077,Protein-Nanoparticle Interactions: Opportunities and Challenges,47,2011,1,0
1078,Optical resonance-enhanced absorption-based near-field immunochip biosensor for allergen detection,47,2008,1,0
1079,Formation of adsorbed protein layers,47,1998,1,0
1080,Perspective on the Martini model,47,2013,1,0
1081,Force fields for simulating the interaction of surfaces with biological molecules,47,2016,1,0
1082,"Comparison of the AMBER, CHARMM, COMPASS, GROMOS, OPLS, TraPPE and UFF force fields for prediction of vapor-liquid coexistence curves and liquid densities",47,2006,1,0
1083,Peptide/TiO2 surface interaction: A theoretical and experimental study on the structure of adsorbed ALA-GLU and ALA-LYS,47,2008,1,0
1084,Molecular Dynamics Simulation of Free and Forced BSA Adsorption on a Hydrophobic Graphite Surface,47,2011,1,0
1085,"On the adsorption of proteins on solid surfaces, a common but very complicated phenomenon",47,2001,1,0
1086,Investigating alanine-silica interaction by means of first-principles molecular-dynamics simulations,47,2008,1,0
1087,A biomolecular force field based on the free enthalpy of hydration and solvation: The GROMOS force-field parameter sets 53A5 and 53A6,47,2004,2,0
1088,A novel knowledge-based approach to design inorganic-binding peptides,47,2007,1,0
1089,Probing the Molecular Mechanisms of Quartz-Binding Peptides,47,2010,1,0
1090,Modeling and simulation of protein-surface interactions: achievements and challenges,47,2016,1,0
1091,Molecular Simulation of Fibronectin Adsorption onto Polyurethane Surfaces,47,2012,1,0
1092,Interactions at the Peptide/Silicon Surfaces: Evidence of Peptide Multilayer Assembly,47,2016,1,0
1093,Chemistry of Aqueous Silica Nanoparticle Surfaces and the Mechanism of Selective Peptide Adsorption,47,2012,1,0
1094,FFSiOH: a new force field for silica polymorphs and their hydroxylated surfaces based on periodic B3LYP calculations,47,2008,1,0
1095,Peptide Adsorption on Silica Nanoparticles: Evidence of Hydrophobic Interactions,47,2012,1,0
1096,Protein Adsorption on a Hydrophobic Surface: A Molecular Dynamics Study of Lysozyme on Graphite,47,2010,1,0
1097,Molecular Mechanism of Selective Binding of Peptides to Silicon Surface,47,2014,1,0
1098,Insights on the Facet Specific Adsorption of Amino Acids and Peptides toward Platinum,47,2013,1,0
1099,Engineered Adhesion Peptides for Improved Silicon Adsorption,47,2015,1,0
1100,Design rules for metal binding biomolecules: understanding of amino acid adsorption on platinum crystallographic facets from density functional calculations,47,2015,1,0
1101,Silica Surface Features and Their Role in the Adsorption of Biomolecules: Computational Modeling and Experiments,47,2013,1,0
1102,Affinity Scale for the Interaction of Amino Acids with Silica Surfaces,47,2009,1,0
1103,Does Adsorption at Hydroxyapatite Surfaces Induce Peptide Folding? Insights from Large-Scale B3LYP Calculations,47,2012,1,0
1104,Tailoring Molecular Specificity Toward a Crystal Facet: a Lesson From Biorecognition Toward Pt{111},47,2013,1,0
1105,Exploring Adsorption of Water and Ions on Carbon Surfaces Using a Polarizable Force Field,47,2013,1,0
1106,"Density functional theory investigation of interaction of zigzag (7,0) single-walled carbon nanotube with Watson-Crick DNA base pairs",47,2010,1,0
1107,General performance of density functionals,47,2007,1,0
1108,Adhesion of lactoferrin and bone morphogenetic protein-2 to a rutile surface: dependence on the surface hydrophobicity,47,2014,1,0
1109,An ab initio parametrized interatomic force field for silica,47,2002,1,0
1110,Modeling the Binding Affinity of Peptides for Graphitic Surfaces. Influences of Aromatic Content and Interfacial Shape,47,2009,1,0
1111,Adsorption Mechanism of Ribosomal Protein L2 onto a Silica Surface: A Molecular Dynamics Simulation Study,47,2010,1,0
1112,Adsorption of Homopolypeptides on Gold Investigated Using Atomistic Molecular Dynamics,47,2011,1,0
1113,Understanding and modulating the competitive surface-adsorption of proteins through coarse-grained molecular dynamics simulations,47,2013,1,0
1114,PROTEIN ADSORPTION TO SOLID-SURFACES,47,1991,1,0
1115,Differential adhesion of amino acids to inorganic surfaces,47,2005,1,0
1116,GoIP-CHARMM: First-Principles Based Force Fields for the Interaction of Proteins with Au(111) and Au(100),47,2013,1,0
1117,Organic-inorganic hybrid solar cells: A comparative review,47,2012,1,0
1118,Porous Polymer Monolithic Column with Surface-Bound Gold Nanoparticles for the Capture and Separation of Cysteine-Containing Peptides,47,2010,1,0
